plot_id,pass_id,row_in_pass,mat_group,subblock_id,subblock_type,variety_group,is_check,row,col,entry,stand_establishment_pct,yield_bu_ac,oil_pct,protein_pct
P001,T-01,1,MG1,B1,AGvC,AG,0,0,0,AG34XF6,84.94,46.65,40.24,23.79
P025,T-02,1,MG1,B1,AGvC,LG3216,1,0,1,LG3216,61.91,34.85,37.46,22.89
P049,T-03,1,MG1,B1,AGvC,AG,0,0,2,AG40XFF5,69.97,41.15,40.63,21.7
P073,T-04,1,MG1,B1,AGvC,LG3216,1,0,3,LG3216,94.84,45.74,37.63,23.31
P097,T-05,1,MG1,B1,AGvC,AG,0,0,4,AG29XF4,33.98,17.32,41.48,20.4
P002,T-01,2,MG1,B1,AGvC,LG3216,1,1,0,LG3216,33.78,19.55,38.34,22.95
P026,T-02,2,MG1,B1,AGvC,AG,0,1,1,AG35XF5,31.58,16.45,36.27,21.69
P050,T-03,2,MG1,B1,AGvC,LG3216,1,1,2,LG3216,74.34,42.45,38.09,23.91
P074,T-04,2,MG1,B1,AGvC,AG,0,1,3,AG38XF6,56.4,31.47,39.53,20.99
P098,T-05,2,MG1,B1,AGvC,LG3216,1,1,4,LG3216,83.07,39.9,36.81,22.37
P003,T-01,3,MG1,B1,AGvC,AG,0,2,0,AG36XF4,75.34,44.32,40.6,21.05
P027,T-02,3,MG1,B1,AGvC,LG3216,1,2,1,LG3216,50.02,29.84,39.09,23.87
P051,T-03,3,MG1,B1,AGvC,AG,0,2,2,AG29XF5,92.38,55.54,43.3,20.52
P075,T-04,3,MG1,B1,AGvC,LG3216,1,2,3,LG3216,82.19,39.09,37.25,23.03
P099,T-05,3,MG1,B1,AGvC,AG,0,2,4,AG38XF6,45.29,26.97,38.99,20.88
P004,T-01,4,MG1,B1,AGvC,LG3216,1,3,0,LG3216,52.31,28.89,37.92,24.31
P028,T-02,4,MG1,B1,AGvC,AG,0,3,1,AG29XF4,48.58,27.29,42.55,19.72
P052,T-03,4,MG1,B1,AGvC,LG3216,1,3,2,LG3216,36.82,19.19,37.75,23.12
P076,T-04,4,MG1,B1,AGvC,AG,0,3,3,AG35XF5,36.08,15.87,36.02,21.22
P100,T-05,4,MG1,B1,AGvC,LG3216,1,3,4,LG3216,95.21,45.7,36.46,23.13
P005,T-01,5,MG1,B1,AGvC,AG,0,4,0,AG40XFF5,57.84,33.38,39.86,20.63
P029,T-02,5,MG1,B1,AGvC,LG3216,1,4,1,LG3216,53.75,32.9,37.79,22.71
P053,T-03,5,MG1,B1,AGvC,AG,0,4,2,AG34XF6,79.73,39.85,40.56,22.29
P077,T-04,5,MG1,B1,AGvC,LG3216,1,4,3,LG3216,66.47,32.5,36.66,22.76
P101,T-05,5,MG1,B1,AGvC,AG,0,4,4,AG36XF4,95.21,41.9,39.22,18.26
P006,T-01,6,MG1,B1,AGvC,LG3216,1,5,0,LG3216,83.52,45.15,38.68,23.1
P030,T-02,6,MG1,B1,AGvC,AG,0,5,1,AG29XF5,60.95,38.04,43.46,20.88
P054,T-03,6,MG1,B1,AGvC,LG3216,1,5,2,LG3216,53.23,30.35,37.42,23.28
P078,T-04,6,MG1,B1,AGvC,AG,0,5,3,AG35XF5,99,46.2,36.84,21.99
P102,T-05,6,MG1,B1,AGvC,LG3216,1,5,4,LG3216,78.83,37.05,37.49,22.58
P007,T-01,7,MG1,B1,AGvC,AG,0,6,0,AG29XF4,96.34,64.4,42.02,20.4
P031,T-02,7,MG1,B1,AGvC,LG3216,1,6,1,LG3216,33.89,21.43,37.92,23.66
P055,T-03,7,MG1,B1,AGvC,AG,0,6,2,AG29XF5,88.79,55.79,43.27,20.16
P079,T-04,7,MG1,B1,AGvC,LG3216,1,6,3,LG3216,72.78,38.98,37.53,22.65
P103,T-05,7,MG1,B1,AGvC,AG,0,6,4,AG38XF6,34.14,18.02,38.97,21.15
P008,T-01,8,MG1,B1,AGvC,LG3216,1,7,0,LG3216,69.12,43.45,38.17,23.53
P032,T-02,8,MG1,B1,AGvC,AG,0,7,1,AG34XF6,76.46,45.22,41.28,22.83
P056,T-03,8,MG1,B1,AGvC,LG3216,1,7,2,LG3216,25.92,15.51,38.72,24
P080,T-04,8,MG1,B1,AGvC,AG,0,7,3,AG36XF4,59.07,23.87,37.01,18.36
P104,T-05,8,MG1,B1,AGvC,LG3216,1,7,4,LG3216,86.9,51.36,37.34,23.65
P121,T-06,1,MG1,B2,AGvLD,LD,0,0,0,LD20-4988,47.15,25.46,37.46,23.58
P145,T-07,1,MG1,B2,AGvLD,AG,0,0,1,AG29XF4,59.39,30.5,41.11,19.75
P169,T-08,1,MG1,B2,AGvLD,LD,0,0,2,LD11-2170,58.17,40.68,43,19.57
P193,T-09,1,MG1,B2,AGvLD,AG,0,0,3,AG29XF5,47.64,30.82,43.74,20.61
P217,T-10,1,MG1,B2,AGvLD,LD,0,0,4,LD22-4283,93.88,56.33,35.34,22.45
P122,T-06,2,MG1,B2,AGvLD,AG,0,1,0,AG29XF4,83.6,42.63,41.58,18.61
P146,T-07,2,MG1,B2,AGvLD,LD,0,1,1,LD21-7234,33.29,14.79,36.77,19.68
P170,T-08,2,MG1,B2,AGvLD,AG,0,1,2,AG29XF5,99.78,66.28,42.92,21.02
P194,T-09,2,MG1,B2,AGvLD,LD,0,1,3,LD20-5738,90.94,58.36,38.86,22.99
P218,T-10,2,MG1,B2,AGvLD,AG,0,1,4,AG29XF5,46.29,28.91,42.24,19.64
P123,T-06,3,MG1,B2,AGvLD,LD,0,2,0,LD21-5253,87.77,50.14,39.4,23.02
P147,T-07,3,MG1,B2,AGvLD,AG,0,2,1,AG29XF4,32.98,14.2,40.37,18.41
P171,T-08,3,MG1,B2,AGvLD,LD,0,2,2,LD20-4471,99.93,57.52,36.99,22.88
P195,T-09,3,MG1,B2,AGvLD,AG,0,2,3,AG29XF5,74.93,43.33,42.84,20.21
P219,T-10,3,MG1,B2,AGvLD,LD,0,2,4,LD20-4542,73.76,47.73,38.71,23.88
P124,T-06,4,MG1,B2,AGvLD,AG,0,3,0,AG29XF4,31.78,16.88,42.17,20.37
P148,T-07,4,MG1,B2,AGvLD,LD,0,3,1,LD20-5413,92.28,49.27,36.06,22.41
P172,T-08,4,MG1,B2,AGvLD,AG,0,3,2,AG29XF4,27.17,15.62,42.74,19.96
P196,T-09,4,MG1,B2,AGvLD,LD,0,3,3,LD21-5253,43.06,25.22,38.36,23.4
P220,T-10,4,MG1,B2,AGvLD,AG,0,3,4,AG29XF5,35.73,20.32,42.33,19.71
P125,T-06,5,MG1,B2,AGvLD,LD,0,4,0,LD11-2170,83.26,45.56,41.9,18.82
P149,T-07,5,MG1,B2,AGvLD,AG,0,4,1,AG29XF4,39.87,20.65,41.64,18.65
P173,T-08,5,MG1,B2,AGvLD,LD,0,4,2,LD20-4471,93.3,54.95,36.84,24.52
P197,T-09,5,MG1,B2,AGvLD,AG,0,4,3,AG29XF5,74.22,45.03,42.59,19.26
P221,T-10,5,MG1,B2,AGvLD,LD,0,4,4,LD20-4542,27.71,17.22,38.56,22.71
P126,T-06,6,MG1,B2,AGvLD,AG,0,5,0,AG29XF5,25.41,14.3,42.11,19.28
P150,T-07,6,MG1,B2,AGvLD,LD,0,5,1,LD20-4988,28.87,14.37,37.49,23.07
P174,T-08,6,MG1,B2,AGvLD,AG,0,5,2,AG29XF4,70.44,37.62,42.03,19.98
P198,T-09,6,MG1,B2,AGvLD,LD,0,5,3,LD20-5738,85.11,48.59,39.13,22.82
P222,T-10,6,MG1,B2,AGvLD,AG,0,5,4,AG29XF5,42.89,25.64,41.59,19.29
P127,T-06,7,MG1,B2,AGvLD,LD,0,6,0,LD22-4283,88.71,43.14,35.52,20.31
P151,T-07,7,MG1,B2,AGvLD,AG,0,6,1,AG29XF4,29.29,14.13,41.96,18.8
P175,T-08,7,MG1,B2,AGvLD,LD,0,6,2,LD21-7234,85.07,47.03,37.87,19.88
P199,T-09,7,MG1,B2,AGvLD,AG,0,6,3,AG29XF4,94.58,61.42,44.06,19.4
P223,T-10,7,MG1,B2,AGvLD,LD,0,6,4,LD20-5413,82.91,55.34,38.09,24.11
P128,T-06,8,MG1,B2,AGvLD,AG,0,7,0,AG29XF5,77.36,35.03,42.06,18.88
P152,T-07,8,MG1,B2,AGvLD,LD,0,7,1,LD21-7234,87.85,36.37,37.48,19
P176,T-08,8,MG1,B2,AGvLD,AG,0,7,2,AG29XF4,28.01,15.64,42.01,19.29
P200,T-09,8,MG1,B2,AGvLD,LD,0,7,3,LD21-5253,40.13,27.18,39.8,24.92
P224,T-10,8,MG1,B2,AGvLD,AG,0,7,4,AG29XF5,34.37,21.82,42.53,20.17
P241,T-11,1,MG1,B3,LDvC,LD,0,0,0,LD22-4283,62.84,31.62,35.7,21.52
P265,T-12,1,MG1,B3,LDvC,LG3216,1,0,1,LG3216,80.89,36.17,37.78,23.42
P289,T-13,1,MG1,B3,LDvC,LD,0,0,2,LD20-4471,72.25,29.96,34.8,22.74
P313,T-14,1,MG1,B3,LDvC,LG3216,1,0,3,LG3216,88.83,44.03,38.12,23.1
P337,T-15,1,MG1,B3,LDvC,LD,0,0,4,LD20-4988,36.64,22.07,38.71,23.59
P242,T-11,2,MG1,B3,LDvC,LG3216,1,1,0,LG3216,80.1,41.33,38.07,22.92
P266,T-12,2,MG1,B3,LDvC,LD,0,1,1,LD11-2170,39.48,21.07,41.89,18.38
P290,T-13,2,MG1,B3,LDvC,LG3216,1,1,2,LG3216,45.31,22.92,37.33,22.63
P314,T-14,2,MG1,B3,LDvC,LD,0,1,3,LD20-5413,78.24,46.04,36.46,23.66
P338,T-15,2,MG1,B3,LDvC,LG3216,1,1,4,LG3216,98.52,59.68,38.14,23.97
P243,T-11,3,MG1,B3,LDvC,LD,0,2,0,LD20-5738,70.87,37.23,36.53,21.32
P267,T-12,3,MG1,B3,LDvC,LG3216,1,2,1,LG3216,29.09,15.86,37.73,23.88
P291,T-13,3,MG1,B3,LDvC,LD,0,2,2,LD17-10473L,71.22,35.29,39.39,19.57
P315,T-14,3,MG1,B3,LDvC,LG3216,1,2,3,LG3216,28.18,15.18,37.36,22.95
P339,T-15,3,MG1,B3,LDvC,LD,0,2,4,LD20-4542,91.31,63.34,37.38,23.45
P244,T-11,4,MG1,B3,LDvC,LG3216,1,3,0,LG3216,78.22,39.35,36.88,22.74
P268,T-12,4,MG1,B3,LDvC,LD,0,3,1,LD19-10076,37.98,20.36,40.89,18.62
P292,T-13,4,MG1,B3,LDvC,LG3216,1,3,2,LG3216,31.88,15.65,37.05,22.47
P316,T-14,4,MG1,B3,LDvC,LD,0,3,3,LD21-5665,38.76,22.58,37.43,23.76
P340,T-15,4,MG1,B3,LDvC,LG3216,1,3,4,LG3216,98.5,59.39,37.69,22.51
P245,T-11,5,MG1,B3,LDvC,LD,0,4,0,LD00-2817P,59.39,31.49,42,20.94
P269,T-12,5,MG1,B3,LDvC,LG3216,1,4,1,LG3216,83.81,43.42,37.58,23.04
P293,T-13,5,MG1,B3,LDvC,LD,0,4,2,LD20-11748,72.73,37.38,36.86,21.42
P317,T-14,5,MG1,B3,LDvC,LG3216,1,4,3,LG3216,67.93,32.64,38.6,22.61
P341,T-15,5,MG1,B3,LDvC,LD,0,4,4,LD19-10244,35.88,23.53,42.26,21.3
P246,T-11,6,MG1,B3,LDvC,LG3216,1,5,0,LG3216,95.95,49.08,37.3,23.22
P270,T-12,6,MG1,B3,LDvC,LD,0,5,1,LD21-3090,47.6,24.76,38.66,23.54
P294,T-13,6,MG1,B3,LDvC,LG3216,1,5,2,LG3216,68.35,36.11,37.24,22.01
P318,T-14,6,MG1,B3,LDvC,LD,0,5,3,LD21-5253,77.48,38.34,38.08,21.81
P342,T-15,6,MG1,B3,LDvC,LG3216,1,5,4,LG3216,73.69,48.79,38.39,23.28
P247,T-11,7,MG1,B3,LDvC,LD,0,6,0,LD17-10473F,95.54,52.11,36.47,25.56
P271,T-12,7,MG1,B3,LDvC,LG3216,1,6,1,LG3216,36.13,19.39,38.02,22.25
P295,T-13,7,MG1,B3,LDvC,LD,0,6,2,LD21-5991,63.13,32.86,40.16,26.27
P319,T-14,7,MG1,B3,LDvC,LG3216,1,6,3,LG3216,55.3,27.89,38.7,23.1
P343,T-15,7,MG1,B3,LDvC,LD,0,6,4,LD21-5944,60.56,36.53,39.44,21.36
P248,T-11,8,MG1,B3,LDvC,LG3216,1,7,0,LG3216,33.94,17.37,38.33,22.8
P272,T-12,8,MG1,B3,LDvC,LD,0,7,1,LD07-3395bf,35.06,18.38,38.73,22.83
P296,T-13,8,MG1,B3,LDvC,LG3216,1,7,2,LG3216,45.86,23.26,37.99,22.5
P320,T-14,8,MG1,B3,LDvC,LD,0,7,3,LD21-7234,47.85,24.89,37.1,19.76
P344,T-15,8,MG1,B3,LDvC,LG3216,1,7,4,LG3216,57.09,34.25,37.79,22.92
P361,T-16,1,MG1,B4,AGvLD,AG,0,0,0,AG35XF5,70.82,44.94,37.6,21.62
P385,T-17,1,MG1,B4,AGvLD,LD,0,0,1,LD21-7234,72.6,40.85,38.88,20.1
P409,T-18,1,MG1,B4,AGvLD,AG,0,0,2,AG38XF6,55.89,32.39,39.5,20.23
P433,T-19,1,MG1,B4,AGvLD,LD,0,0,3,LD21-3090,55.66,30.46,38.4,22.83
P457,T-20,1,MG1,B4,AGvLD,AG,0,0,4,AG40XFF5,41.32,21.79,38.17,20.56
P362,T-16,2,MG1,B4,AGvLD,LD,0,1,0,LD21-5944,69.12,45.86,38.68,21.43
P386,T-17,2,MG1,B4,AGvLD,AG,0,1,1,AG34XF6,48.78,32.17,39.64,24.56
P410,T-18,2,MG1,B4,AGvLD,LD,0,1,2,LD17-10473F,27.7,15.06,36.53,25.07
P434,T-19,2,MG1,B4,AGvLD,AG,0,1,3,AG36XF4,56.38,30.03,40.4,20.61
P458,T-20,2,MG1,B4,AGvLD,LD,0,1,4,LD21-5253,60.56,33.25,39.28,22.94
P363,T-16,3,MG1,B4,AGvLD,AG,0,2,0,AG34XF6,41.92,25.55,39.39,23.26
P387,T-17,3,MG1,B4,AGvLD,LD,0,2,1,LD07-3395bf,67.93,46.35,39.46,23.94
P411,T-18,3,MG1,B4,AGvLD,AG,0,2,2,AG38XF6,67.43,40.82,39.45,20.6
P435,T-19,3,MG1,B4,AGvLD,LD,0,2,3,LD20-11748,77.65,43.23,37.81,22.48
P459,T-20,3,MG1,B4,AGvLD,AG,0,2,4,AG35XF5,73.6,40.55,35.87,21.52
P364,T-16,4,MG1,B4,AGvLD,LD,0,3,0,LD21-5665,73.93,46.98,37.96,23.62
P388,T-17,4,MG1,B4,AGvLD,AG,0,3,1,AG40XFF5,48.72,30.58,40.24,20.96
P412,T-18,4,MG1,B4,AGvLD,LD,0,3,2,LD21-7234,84.06,39.59,37.75,19.64
P436,T-19,4,MG1,B4,AGvLD,AG,0,3,3,AG36XF4,66.19,33.47,40.16,20.16
P460,T-20,4,MG1,B4,AGvLD,LD,0,3,4,LD21-3090,57.36,32.24,39.15,23.1
P365,T-16,5,MG1,B4,AGvLD,AG,0,4,0,AG34XF6,71.95,38.51,40.92,23.6
P389,T-17,5,MG1,B4,AGvLD,LD,0,4,1,LD20-11748,52.05,31.89,37.25,21.57
P413,T-18,5,MG1,B4,AGvLD,AG,0,4,2,AG38XF6,63.46,28.11,38.77,20.96
P437,T-19,5,MG1,B4,AGvLD,LD,0,4,3,LD17-10473F,80.25,38.97,37.1,25.06
P461,T-20,5,MG1,B4,AGvLD,AG,0,4,4,AG35XF5,91.48,49.35,35.97,22.04
P366,T-16,6,MG1,B4,AGvLD,LD,0,5,0,LD07-3395bf,94.08,59.8,39.4,23.09
P390,T-17,6,MG1,B4,AGvLD,AG,0,5,1,AG36XF4,62.77,36.53,40.77,21.49
P414,T-18,6,MG1,B4,AGvLD,LD,0,5,2,LD21-5253,64.02,28.51,37.53,21.96
P438,T-19,6,MG1,B4,AGvLD,AG,0,5,3,AG40XFF5,84.99,47.33,38.98,20.78
P462,T-20,6,MG1,B4,AGvLD,LD,0,5,4,LD21-5665,48.58,24.7,36.99,23.29
P367,T-16,7,MG1,B4,AGvLD,AG,0,6,0,AG38XF6,87.8,63.2,39.52,22.11
P391,T-17,7,MG1,B4,AGvLD,LD,0,6,1,LD21-5944,62.06,38.96,39.19,21.21
P415,T-18,7,MG1,B4,AGvLD,AG,0,6,2,AG35XF5,33.69,18.04,35.92,22.59
P439,T-19,7,MG1,B4,AGvLD,LD,0,6,3,LD21-5665,30.4,17.34,37.4,22.32
P463,T-20,7,MG1,B4,AGvLD,AG,0,6,4,AG34XF6,88.15,46.87,39.47,23.22
P368,T-16,8,MG1,B4,AGvLD,LD,0,7,0,LD20-11748,29.17,16.64,37.15,22.77
P392,T-17,8,MG1,B4,AGvLD,AG,0,7,1,AG36XF4,46.05,23.93,38.86,19.95
P416,T-18,8,MG1,B4,AGvLD,LD,0,7,2,LD07-3395bf,50.06,27.66,38.41,23.36
P440,T-19,8,MG1,B4,AGvLD,AG,0,7,3,AG40XFF5,37.97,18.09,38.55,20.77
P464,T-20,8,MG1,B4,AGvLD,LD,0,7,4,LD21-3090,48.54,26.53,39.75,23.28
P009,T-01,9,MG2,B5,AGvLD,AG,0,0,0,AG34XF6,80.7,46.06,40.71,23.39
P033,T-02,9,MG2,B5,AGvLD,LD,0,0,1,LD21-3090,26.1,16.95,39.45,23.33
P057,T-03,9,MG2,B5,AGvLD,AG,0,0,2,AG40XFF5,87.04,51.27,39.83,21.22
P081,T-04,9,MG2,B5,AGvLD,LD,0,0,3,LD17-10473F,89.24,44.69,35.41,24.85
P105,T-05,9,MG2,B5,AGvLD,AG,0,0,4,AG38XF6,52.92,27.78,38.93,20.21
P010,T-01,10,MG2,B5,AGvLD,LD,0,1,0,LD21-5944,36.52,22.24,40.11,21.43
P034,T-02,10,MG2,B5,AGvLD,AG,0,1,1,AG36XF4,70.06,35.88,39.35,18.8
P058,T-03,10,MG2,B5,AGvLD,LD,0,1,2,LD21-5665,33.98,19.66,38.04,24.11
P082,T-04,10,MG2,B5,AGvLD,AG,0,1,3,AG35XF5,52.37,24.38,36.58,22.27
P106,T-05,10,MG2,B5,AGvLD,LD,0,1,4,LD21-5253,96.88,46.11,38.19,21.98
P011,T-01,11,MG2,B5,AGvLD,AG,0,2,0,AG36XF4,99.66,57.31,39.55,21.31
P035,T-02,11,MG2,B5,AGvLD,LD,0,2,1,LD20-11748,82.91,48.21,36.52,22.5
P059,T-03,11,MG2,B5,AGvLD,AG,0,2,2,AG34XF6,48.32,28.9,40.42,23.61
P083,T-04,11,MG2,B5,AGvLD,LD,0,2,3,LD07-3395bf,76.57,41.42,38.2,23.2
P107,T-05,11,MG2,B5,AGvLD,AG,0,2,4,AG40XFF5,77.91,32.81,39.13,20.4
P012,T-01,12,MG2,B5,AGvLD,LD,0,3,0,LD21-7234,54.09,29.34,37.86,19.8
P036,T-02,12,MG2,B5,AGvLD,AG,0,3,1,AG35XF5,73.07,41.36,35.54,22.87
P060,T-03,12,MG2,B5,AGvLD,LD,0,3,2,LD21-3090,25.8,16.43,38.95,23.51
P084,T-04,12,MG2,B5,AGvLD,AG,0,3,3,AG38XF6,40.68,22.27,37.54,20.29
P108,T-05,12,MG2,B5,AGvLD,LD,0,3,4,LD21-7234,64.38,25.67,37.18,19.69
P013,T-01,13,MG2,B5,AGvLD,AG,0,4,0,AG34XF6,37.28,22.6,40.34,23.76
P037,T-02,13,MG2,B5,AGvLD,LD,0,4,1,LD21-5665,37.44,21.92,37.63,22.99
P061,T-03,13,MG2,B5,AGvLD,AG,0,4,2,AG36XF4,87.72,42.43,39.91,20.03
P085,T-04,13,MG2,B5,AGvLD,LD,0,4,3,LD07-3395bf,99.18,52.03,38.86,22.51
P109,T-05,13,MG2,B5,AGvLD,AG,0,4,4,AG35XF5,66.7,36.39,36.3,21.44
P014,T-01,14,MG2,B5,AGvLD,LD,0,5,0,LD17-10473F,87.93,58.98,36.28,26.05
P038,T-02,14,MG2,B5,AGvLD,AG,0,5,1,AG38XF6,99.27,66.36,40.21,21.41
P062,T-03,14,MG2,B5,AGvLD,LD,0,5,2,LD20-11748,35.62,22.27,37.54,21.96
P086,T-04,14,MG2,B5,AGvLD,AG,0,5,3,AG40XFF5,58.62,29.41,38.87,21.73
P110,T-05,14,MG2,B5,AGvLD,LD,0,5,4,LD21-5253,54.44,25.54,38.13,22.3
P015,T-01,15,MG2,B5,AGvLD,AG,0,6,0,AG40XFF5,31,18.37,38.83,21.49
P039,T-02,15,MG2,B5,AGvLD,LD,0,6,1,LD21-5944,81.65,50,40.3,22.56
P063,T-03,15,MG2,B5,AGvLD,AG,0,6,2,AG34XF6,57.53,35.26,39.89,23.49
P087,T-04,15,MG2,B5,AGvLD,LD,0,6,3,LD07-3395bf,60.2,30,38.53,22.64
P111,T-05,15,MG2,B5,AGvLD,AG,0,6,4,AG36XF4,36.3,13.76,37.6,18.67
P016,T-01,16,MG2,B5,AGvLD,LD,0,7,0,LD21-5253,38.57,24.91,39.35,24.62
P040,T-02,16,MG2,B5,AGvLD,AG,0,7,1,AG35XF5,93.03,57.63,38.02,22.77
P064,T-03,16,MG2,B5,AGvLD,LD,0,7,2,LD21-5944,28.35,17.18,38.96,21.83
P088,T-04,16,MG2,B5,AGvLD,AG,0,7,3,AG38XF6,42.46,23.02,39.37,20.24
P112,T-05,16,MG2,B5,AGvLD,LD,0,7,4,LD21-7234,46.9,22.12,37.48,19.71
P129,T-06,9,MG2,B6,AGvC,AG,0,0,0,AG29XF5,61.76,32.86,42.19,19.96
P153,T-07,9,MG2,B6,AGvC,LG3216,1,0,1,LG3216,68.98,36.1,38.17,22.34
P177,T-08,9,MG2,B6,AGvC,AG,0,0,2,AG40XFF5,62,37.8,39.47,20.74
P201,T-09,9,MG2,B6,AGvC,LG3216,1,0,3,LG3216,31.31,17.42,37.16,23.81
P225,T-10,9,MG2,B6,AGvC,AG,0,0,4,AG35XF5,43.28,26.02,36.13,20.61
P130,T-06,10,MG2,B6,AGvC,LG3216,1,1,0,LG3216,88.27,42.75,37.81,23.06
P154,T-07,10,MG2,B6,AGvC,AG,0,1,1,AG29XF4,72.82,35.52,42.24,19.35
P178,T-08,10,MG2,B6,AGvC,LG3216,1,1,2,LG3216,73.69,41.32,37.38,24.07
P202,T-09,10,MG2,B6,AGvC,AG,0,1,3,AG34XF6,75.27,43.64,40.3,23.38
P226,T-10,10,MG2,B6,AGvC,LG3216,1,1,4,LG3216,82.22,49.15,37.93,23.75
P131,T-06,11,MG2,B6,AGvC,AG,0,2,0,AG36XF4,29.36,11.49,38.23,18.81
P155,T-07,11,MG2,B6,AGvC,LG3216,1,2,1,LG3216,52.5,25.83,36.76,23.11
P179,T-08,11,MG2,B6,AGvC,AG,0,2,2,AG38XF6,65.46,43.05,39.56,21.6
P203,T-09,11,MG2,B6,AGvC,LG3216,1,2,3,LG3216,50.38,30.49,37.76,23.26
P227,T-10,11,MG2,B6,AGvC,AG,0,2,4,AG35XF5,88.34,54.98,37.73,23.12
P132,T-06,12,MG2,B6,AGvC,LG3216,1,3,0,LG3216,61.19,31.41,37.87,22.53
P156,T-07,12,MG2,B6,AGvC,AG,0,3,1,AG29XF4,82.65,41.98,41.39,18.98
P180,T-08,12,MG2,B6,AGvC,LG3216,1,3,2,LG3216,88.9,48.44,38.21,24.07
P204,T-09,12,MG2,B6,AGvC,AG,0,3,3,AG38XF6,62.86,39.66,39.96,21.58
P228,T-10,12,MG2,B6,AGvC,LG3216,1,3,4,LG3216,93.22,49.64,37.86,24.37
P133,T-06,13,MG2,B6,AGvC,AG,0,4,0,AG34XF6,69.03,34.84,39.22,22.62
P157,T-07,13,MG2,B6,AGvC,LG3216,1,4,1,LG3216,88.77,44.71,37.1,22.3
P181,T-08,13,MG2,B6,AGvC,AG,0,4,2,AG40XFF5,50.54,30.79,38.96,20.67
P205,T-09,13,MG2,B6,AGvC,LG3216,1,4,3,LG3216,62.41,39.46,37.59,23.8
P229,T-10,13,MG2,B6,AGvC,AG,0,4,4,AG36XF4,64.86,39.8,40.69,21.28
P134,T-06,14,MG2,B6,AGvC,LG3216,1,5,0,LG3216,32.87,16.03,37.76,23.15
P158,T-07,14,MG2,B6,AGvC,AG,0,5,1,AG29XF5,54.89,30.96,41.48,19.48
P182,T-08,14,MG2,B6,AGvC,LG3216,1,5,2,LG3216,93.8,54.36,38.27,23.78
P206,T-09,14,MG2,B6,AGvC,AG,0,5,3,AG38XF6,72.31,46.53,39.82,20.63
P230,T-10,14,MG2,B6,AGvC,LG3216,1,5,4,LG3216,38.31,24.65,38.47,24.34
P135,T-06,15,MG2,B6,AGvC,AG,0,6,0,AG36XF4,50.41,19.47,38.49,20.41
