Block,Row,Col,X_ft,Y_ft,Plot_ID,Entry,Group,establishment_pct,Yield_bu_ac,protein,oil
B1,0,0,4,5.62,P001,AG34XF6,AG,81.44272144,42.9897002,8.530841575,1.311271874
B1,0,1,12,5.62,P025,LG3216,LG3216,80.56891481,45.73961883,6.610326123,1.963458038
B1,0,2,20,5.62,P049,AG40XFF5,AG,94.30288576,53.95093293,8.328875084,1.621324454
B1,0,3,28,5.62,P073,LG3216,LG3216,78.51197462,43.87132389,8.48484483,1.909969271
B1,0,4,36,5.62,P097,AG29XF4,AG,75.40357984,39.66178897,7.60078787,1.863323689
B1,1,0,4,16.88,P002,LG3216,LG3216,85.58253085,47.18043921,7.729723879,1.705359917
B1,1,1,12,16.88,P026,AG35XF5,AG,70.6585327,38.85656409,7.761182744,1.771123382
B1,1,2,20,16.88,P050,LG3216,LG3216,65.59073644,36.07122231,7.306042674,2.340097408
B1,1,3,28,16.88,P074,AG38XF6,AG,79.11509096,44.72519941,7.584188552,1.527647319
B1,1,4,36,16.88,P098,LG3216,LG3216,76.67557474,41.82284286,7.411932288,2.696181203
B1,2,0,4,28.12,P003,AG36XF4,AG,69.30279762,38.35440254,6.681627553,2.074048407
B1,2,1,12,28.12,P027,LG3216,LG3216,74.7004724,40.9434696,7.372780894,2.286915142
B1,2,2,20,28.12,P051,AG29XF5,AG,74.65569799,41.47124317,7.896099771,1.879245924
B1,2,3,28,28.12,P075,LG3216,LG3216,73.09982258,37.77437929,7.846024326,2.023312107
B1,2,4,36,28.12,P099,AG38XF6,AG,75.17856319,40.8384797,6.611763449,2.274956885
B1,3,0,4,39.38,P004,LG3216,LG3216,87.42973382,46.48505254,7.443061544,1.917320109
B1,3,1,12,39.38,P028,AG29XF4,AG,71.87505898,37.83546558,6.393430599,2.711562477
B1,3,2,20,39.38,P052,LG3216,LG3216,97.95431707,55.83016217,8.29298912,1.168867366
B1,3,3,28,39.38,P076,AG35XF5,AG,96.65392078,55.52271122,8.517773737,1.806175259
B1,3,4,36,39.38,P100,LG3216,LG3216,79.23641713,44.20265047,7.415462835,1.736137691
B1,4,0,4,50.62,P005,AG40XFF5,AG,73.1344482,40.03778545,7.44514776,1.516216873
B1,4,1,12,50.62,P029,LG3216,LG3216,81.41739159,45.6126984,7.165200062,2.339873619
B1,4,2,20,50.62,P053,AG34XF6,AG,93.94241955,51.78321545,8.378065091,2.095426219
B1,4,3,28,50.62,P077,LG3216,LG3216,86.10349362,47.18879831,8.358608272,2.180469421
B1,4,4,36,50.62,P101,AG36XF4,AG,92.17567312,48.38787083,7.636038126,1.543566007
B1,5,0,4,61.88,P006,LG3216,LG3216,81.30889104,44.52052455,7.766000602,1.612344383
B1,5,1,12,61.88,P030,AG29XF5,AG,85.31670517,46.75024886,7.622467861,1.442580444
B1,5,2,20,61.88,P054,LG3216,LG3216,71.52622457,37.6850312,7.207622823,2.214296824
B1,5,3,28,61.88,P078,AG35XF5,AG,89.39572649,49.09810519,7.519138077,1.638400252
B1,5,4,36,61.88,P102,LG3216,LG3216,68.09618373,36.6080188,7.250870111,2.415652989
B1,6,0,4,73.12,P007,AG29XF4,AG,87.79192515,50.39133565,7.503012799,2.524023876
B1,6,1,12,73.12,P031,LG3216,LG3216,94.42876273,52.40302716,7.724365216,1.964966414
B1,6,2,20,73.12,P055,AG29XF5,AG,65.28411349,36.13602126,7.231487558,2.093406274
B1,6,3,28,73.12,P079,LG3216,LG3216,84.57518962,46.53552101,6.930723139,1.913717521
B1,6,4,36,73.12,P103,AG38XF6,AG,63.80382993,34.79663511,6.093257748,2.346713105
B1,7,0,4,84.38,P008,LG3216,LG3216,89.02862513,48.0736518,7.931627073,1.847514942
B1,7,1,12,84.38,P032,AG34XF6,AG,63.37972875,33.77825776,7.409588578,2.392458033
B1,7,2,20,84.38,P056,LG3216,LG3216,97.43759291,53.17143205,8.634540545,1.70829734
B1,7,3,28,84.38,P080,AG36XF4,AG,65.4963172,35.2287699,7.138519863,2.157864483
B1,7,4,36,84.38,P104,LG3216,LG3216,98.35520984,51.30278359,7.717964971,1.916615877
B2,0,0,44,5.62,P121,LD20-4988,LD,92.03536704,51.22318136,7.155849743,1.937971981
B2,0,1,52,5.62,P145,AG29XF4,AG,83.74728018,45.8043916,7.59323762,1.872209996
B2,0,2,60,5.62,P169,LD11-2170,LD,91.30496419,48.01185872,7.752964204,1.568745585
B2,0,3,68,5.62,P193,AG29XF5,AG,91.80459356,50.07905701,8.076464205,1.815966131
B2,0,4,76,5.62,P217,LD22-4283,LD,97.84108251,55.92886851,8.736576306,1.300996936
B2,1,0,44,16.88,P122,AG29XF4,AG,70.13533415,39.13965584,7.446839185,1.870158437
B2,1,1,52,16.88,P146,LD21-7234,LD,83.60303581,47.13616576,8.047593809,1.928479813
B2,1,2,60,16.88,P170,AG29XF5,AG,63.8019679,35.06515064,7.007015561,2.203514651
B2,1,3,68,16.88,P194,LD20-5738,LD,84.646628,45.42281322,7.353211415,1.832330261
B2,1,4,76,16.88,P218,AG29XF5,AG,66.85165216,35.20958969,6.940534646,2.335140246
B2,2,0,44,28.12,P123,LD21-5253,LD,82.59802446,45.91193567,7.150768072,1.696873615
B2,2,1,52,28.12,P147,AG29XF4,AG,82.89722056,45.37582733,7.129095269,1.896847983
B2,2,2,60,28.12,P171,LD20-4471,LD,78.63940612,44.85783054,8.175187072,1.615120611
B2,2,3,68,28.12,P195,AG29XF5,AG,80.90527102,45.8626193,7.268138,2.096843832
B2,2,4,76,28.12,P219,LD20-4542,LD,90.5569356,49.94043645,7.02528657,2.183030639
B2,3,0,44,39.38,P124,AG29XF4,AG,91.96978866,48.13747424,7.313911151,1.593992176
B2,3,1,52,39.38,P148,LD20-5413,LD,79.68612862,43.39930082,7.883957552,2.384814587
B2,3,2,60,39.38,P172,AG29XF4,AG,83.98373766,46.36347019,7.612257934,2.036235219
B2,3,3,68,39.38,P196,LD21-5253,LD,97.24944943,54.00317961,7.127359057,1.404332656
B2,3,4,76,39.38,P220,AG29XF5,AG,64.78934354,34.70327216,7.816299935,2.176089546
B2,4,0,44,50.62,P125,LD11-2170,LD,64.68414264,35.78557503,6.927878011,2.346515215
B2,4,1,52,50.62,P149,AG29XF4,AG,63.50836048,34.07372835,6.298542278,1.77115978
B2,4,2,60,50.62,P173,LD20-4471,LD,86.3145314,46.78098471,7.906574445,1.517709739
B2,4,3,68,50.62,P197,AG29XF5,AG,76.74433203,42.59444068,7.49027755,2.349187398
B2,4,4,76,50.62,P221,LD20-4542,LD,90.97285665,49.76761849,7.553638384,1.379199849
B2,5,0,44,61.88,P126,AG29XF5,AG,86.84925653,47.61491538,7.484200027,1.386648346
B2,5,1,52,61.88,P150,LD20-4988,LD,73.34551033,40.89866333,7.80949993,1.802915962
B2,5,2,60,61.88,P174,AG29XF4,AG,95.93466189,50.99168282,7.956277398,1.636606356
B2,5,3,68,61.88,P198,LD20-5738,LD,90.50128588,48.77885197,8.265527301,1.981727514
B2,5,4,76,61.88,P222,AG29XF5,AG,70.82139764,39.98950292,7.957441158,2.171678661
B2,6,0,44,73.12,P127,LD22-4283,LD,74.56768071,40.30810519,7.446450475,2.597813035
B2,6,1,52,73.12,P151,AG29XF4,AG,72.57759921,37.11209221,7.529887365,1.880497823
B2,6,2,60,73.12,P175,LD21-7234,LD,66.30446594,35.04559468,6.23549914,1.877904653
B2,6,3,68,73.12,P199,AG29XF4,AG,65.9113349,36.16541727,7.097713423,2.872080603
B2,6,4,76,73.12,P223,LD20-5413,LD,97.44509854,53.50652534,7.405167591,1.652585232
